Hostname,ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed
INBANL-PC0EX5K3,1,86,C:\Windows\notepad.exe,7/16/2016 11:43,NA
INBANL-PC0EX5K3,1,87,C:\Windows\regedit.exe,3/4/2017 6:18,NA
INBANL-PC0EX5K3,1,88,C:\Windows\bfsvc.exe,7/16/2016 11:42,NA
INBANL-PC0EX5K3,1,89,C:\WINDOWS\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.251.911.0.exe,9/15/2017 3:00,NA
INBANL-PC0EX5K3,1,90,C:\Users\vigneshb\AppData\Local\Temp\7936271F-59D1-45B8-A0A4-A2FB394CC3CD\dismhost.exe,7/16/2016 6:04,NA
INBANL-PC0EX5K3,1,91,C:\WINDOWS\system32\tzsync.exe,7/16/2016 11:42,NA
INBANL-PC0EX5K3,1,92,C:\WINDOWS\system32\telnet.exe,5/15/2017 18:22,NA
INBANL-PC0EX5K3,1,93,C:\Users\vigneshb\AppData\Local\Temp\npp.7.5.1.Installer.x64.exe,9/14/2017 5:41,NA
INBANL-PC0EX5K3,1,94,C:\Program Files\Notepad++\updater\gup.exe,6/18/2017 21:44,NA
INBANL-PC0EX5K3,1,95,C:\Users\vigneshb\AppData\Local\Temp\825F9ACA-28CB-4918-A376-381A72F06805\dismhost.exe,7/16/2016 6:04,NA
INBANL-PC0EX5K3,1,96,C:\Program Files\Microsoft Network Monitor 3\netmon.exe,6/9/2010 11:40,NA
INBANL-PC0EX5K3,1,97,C:\Program Files\Process Hacker 2\ProcessHacker.exe,3/29/2016 7:05,NA
INBANL-PC0EX5K3,1,98,C:\Users\vigneshb\AppData\Local\gotomeetingmessenger\GoToMeeting Messenger.exe,9/22/2017 6:06,NA
INBANL-PC0EX5K3,1,99,C:\Program Files (x86)\HxD\HxD.exe,4/1/2009 16:08,NA
INBANL-PC0EX5K3,1,100,C:\Program Files\WindowsApps\Microsoft.WindowsStore_11708.1001.21.0_x64__8wekyb3d8bbwe\Application,9/14/2017 3:41,NA
INBANL-PC0EX5K3,1,101,"00000000	000e000063520000	000a0000273a0000	8664	Microsoft.VCLibs.140.00	8wekyb3d8bbwe	",1601-01-01 00:00:00,NA
INBANL-PC0EX5K3,1,102,"00000009	000e000063520000	000a0000273a0000	8664	Microsoft.VCLibs.140.00	8wekyb3d8bbwe	",1601-01-01 00:00:00,NA
INBANL-PC0EX5K3,1,103,"00000009	2dbc03e900150000	000a00003ad70000	8664	Microsoft.WindowsStore	8wekyb3d8bbwe	",1601-01-01 00:00:00,NA
INBANL-PC0EX5K3,1,104,C:\ProgramData\Adobe\ARM\{291AA914-A987-4CE9-BD63-AC0A92D435E5}\ServicesUpdater.exe,9/4/2017 7:38,NA
INBANL-PC0EX5K3,1,105,C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARMHelper.exe,7/19/2017 18:20,NA
